"Weapon","Event","RuntimeFile","InitialGainDb","Usage","Identity","SourcePath","SourceStartSec","SourceEndSec","RuntimeMB","Format"
"BATTLE_AXE","motion","BATTLE_AXE\axe_motion.wav","-4","primary","slow metallic air","344 Audio - Elemental Palette Designed Vol. 1\METLMisc_Metal, Slow Whoosh, Rattle, Pass By x4 01_344 Audio_Elemental Palette Designed Vol 1.wav","0.02","1.15","0.104","PCM16 WAV 48kHz mono"
"BATTLE_AXE","contact","BATTLE_AXE\axe_contact.wav","0","primary","aggressive heavy contact","Epic Stock Media - Halloween Game - Haunted House and Horror Audio Scare Kit\GORESplt_Gore Designed Transient Heavy Impact Smash 01_ESM_HALG.wav","0","1.15","0.106","PCM16 WAV 48kHz mono"
"BATTLE_AXE","body_layer","BATTLE_AXE\axe_body.wav","-8","layer","quiet low-body reinforcement","344 Audio - Cinematic Fight Vol. 1\FGHTImpt_4 x Punch, Body 02_344 Audio_Cinematic Fight Vol 1.wav","1.13","1.62","0.045","PCM16 WAV 48kHz mono"
"SPIKED_CLUB","motion_impact","SPIKED_CLUB\club_swing.wav","-2","primary","dull heavy swing-through","David Dumais Audio - Melee Weapons Sound Effects Pack 2\SWSH_SWING IMPACTS Quick Heavy Weapon Swing To Thud Impact Var 01_DDUMAIS_MWP2.wav","3","3.81","0.075","PCM16 WAV 48kHz mono"
"SPIKED_CLUB","body_contact","SPIKED_CLUB\club_body.wav","0","primary","blunt body thump","344 Audio - Cinematic Fight Vol. 1\FGHTImpt_4 x Punch, Body 02_344 Audio_Cinematic Fight Vol 1.wav","1.13","1.62","0.045","PCM16 WAV 48kHz mono"
"DAGGER","motion","DAGGER\dagger_motion.wav","-3","primary","needle-fast air","Cinematic Sound Design - Ultra Transitions & Impacts\Woosh Sweep Slide Infographics Basic.wav","0.015","0.3","0.026","PCM16 WAV 48kHz mono"
"DAGGER","contact_texture","DAGGER\dagger_contact.wav","-3","layer","short sharp shard transient","Epic Stock Media - Elemental Mutation Whooshes and Impacts\GLASMvmt_Whoosh Glass Crystal Fragments Sharp Shards Dry 05_ESM_EMWI.wav","1.25","1.62","0.034","PCM16 WAV 48kHz mono"
"SABRE","motion","SABRE\sabre_motion.wav","-4","primary","clean long-blade metallic air","David Dumais Audio - Melee Weapons Sound Effects Pack 2\METLFric_SWING SCRAPE Swift Melee Weapon Swing With A Long Blade 14_DDUMAIS_MWP2.wav","0","0.78","0.072","PCM16 WAV 48kHz mono"
"SABRE","contact","SABRE\sabre_cut.wav","0","primary","bright metallic cut","344 Audio - Historical Weapons Vol. 2\WEAPSwrd_Sword Slide Cuts, Metallic, Impact CM4 2_344 Audio_Medieval Weapons Vol 2.wav","10.8","11.4","0.055","PCM16 WAV 48kHz mono"
"SPEAR","motion","SPEAR\spear_motion.wav","-5","primary","directional thrust","344 Audio - Elemental Palette Designed Vol. 1\WINDDsgn_Wind, Rush, Whoosh, Long x5 01_344 Audio_Elemental Palette Designed Vol 1.wav","0.02","1.04","0.094","PCM16 WAV 48kHz mono"
"SPEAR","contact","SPEAR\spear_impact.wav","0","primary","hard puncture","344 Audio - Historical Weapons Vol. 2\WEAPBlnt_Spear And Stick Impact, Wooden MKH 2_344 Audio_Medieval Weapons Vol 2.wav","7.02","7.38","0.033","PCM16 WAV 48kHz mono"
"SWIRL_SHIELD","block","SWIRL_SHIELD\swirl_shield_block.wav","0","primary","bright catch/reject","Epic Stock Media - HD Game Materials\METLImpt_Metal Old File Impact Tap Against Tire Iron Metallic Hit 01_ESM_HDGM.wav","0.12","0.46","0.032","PCM16 WAV 48kHz mono"
"TOWER_SHIELD","block","TOWER_SHIELD\tower_shield_block.wav","0","primary","heavy absorb/contact","David Dumais Audio - Melee Weapons Sound Effects Pack 2\METLImpt_METAL SWING HIT Weapon Swing To Metallic Body Impact And Resonant Tail 01_DDUMAIS_MWP2.wav","0.04","1.15","0.102","PCM16 WAV 48kHz mono"
"GRENADE","explosion_core","GRENADE\grenade_core.wav","0","primary","compact explosion core","Epic Stock Media - Anime Game\EXPLDsgn_Explosion Small Blast Enemy Death Crunchy Boom Cartoon Noisy Crash Impact Delay 03_ESM_AG.wav","0.01","1.2","0.11","PCM16 WAV 48kHz mono"
"GRENADE","low_body","GRENADE\grenade_low.wav","-8","layer","first low boom only; avoid later pulses","Federico Soler - Effective Trailer Booms Vol. 2\EffectiveTrailer_Booms_Vol2_011.wav","0.26","1.15","0.082","PCM16 WAV 48kHz mono"
"PISTOL","mechanism_optional","PISTOL\pistol_mech_click.wav","-6","optional","seat/lock click; gun FIRE still missing","Epic Stock Media - HD Lock And Mechanism Sound Design Kit\MECHLtch_Click Deep Mechanism Latch Button Nearfield Thunk 02_ESM_HDLM.wav","0","0.18","0.017","PCM16 WAV 48kHz mono"
